자치구,월,유형,건수
성동구,9,부상자수,111
광진구,9,부상자수,94
동대문구,9,부상자수,161
중랑구,9,부상자수,138
성북구,9,부상자수,122
강북구,9,부상자수,79
도봉구,9,부상자수,61
노원구,9,부상자수,160
은평구,9,부상자수,118
서대문구,9,부상자수,95
마포구,9,부상자수,155
양천구,9,부상자수,138
강서구,9,부상자수,154
구로구,9,부상자수,124
금천구,9,부상자수,97
영등포구,9,부상자수,250
동작구,9,부상자수,93
관악구,9,부상자수,158
서초구,9,부상자수,203
강남구,9,부상자수,390
송파구,9,부상자수,283
강동구,9,부상자수,90
종로구,10,발생건수,75
중구,10,발생건수,78
용산구,10,발생건수,78
성동구,10,발생건수,77
광진구,10,발생건수,82
동대문구,10,발생건수,120
중랑구,10,발생건수,114
성북구,10,발생건수,123
강북구,10,발생건수,80
도봉구,10,발생건수,35
노원구,10,발생건수,118
은평구,10,발생건수,69
서대문구,10,발생건수,83
마포구,10,발생건수,91
양천구,10,발생건수,106
강서구,10,발생건수,130
구로구,10,발생건수,110
금천구,10,발생건수,52
영등포구,10,발생건수,177
동작구,10,발생건수,89
관악구,10,발생건수,112
서초구,10,발생건수,163
강남구,10,발생건수,330
송파구,10,발생건수,233
강동구,10,발생건수,89
종로구,10,사망자수,0
중구,10,사망자수,0
용산구,10,사망자수,0
성동구,10,사망자수,0
광진구,10,사망자수,0
동대문구,10,사망자수,0
중랑구,10,사망자수,0
성북구,10,사망자수,2
강북구,10,사망자수,0
도봉구,10,사망자수,0
노원구,10,사망자수,2
은평구,10,사망자수,1
서대문구,10,사망자수,2
마포구,10,사망자수,0
양천구,10,사망자수,1
강서구,10,사망자수,2
구로구,10,사망자수,1
금천구,10,사망자수,3
영등포구,10,사망자수,4
동작구,10,사망자수,0
관악구,10,사망자수,0
서초구,10,사망자수,0
강남구,10,사망자수,1
송파구,10,사망자수,3
강동구,10,사망자수,2
종로구,10,부상자수,97
중구,10,부상자수,108
용산구,10,부상자수,110
성동구,10,부상자수,104
광진구,10,부상자수,108
동대문구,10,부상자수,144
중랑구,10,부상자수,156
성북구,10,부상자수,158
강북구,10,부상자수,108
도봉구,10,부상자수,47
노원구,10,부상자수,153
은평구,10,부상자수,128
서대문구,10,부상자수,93
마포구,10,부상자수,125
양천구,10,부상자수,130
강서구,10,부상자수,183
구로구,10,부상자수,143
금천구,10,부상자수,97
영등포구,10,부상자수,238
동작구,10,부상자수,116
관악구,10,부상자수,140
서초구,10,부상자수,220
강남구,10,부상자수,453
송파구,10,부상자수,315
강동구,10,부상자수,113
종로구,11,발생건수,75
중구,11,발생건수,84
용산구,11,발생건수,92
성동구,11,발생건수,99
광진구,11,발생건수,67
동대문구,11,발생건수,131
중랑구,11,발생건수,125
성북구,11,발생건수,115
강북구,11,발생건수,92
도봉구,11,발생건수,50
노원구,11,발생건수,121
은평구,11,발생건수,67
서대문구,11,발생건수,75
마포구,11,발생건수,83
양천구,11,발생건수,110
강서구,11,발생건수,131
구로구,11,발생건수,122
금천구,11,발생건수,62
영등포구,11,발생건수,177
동작구,11,발생건수,102
관악구,11,발생건수,115
서초구,11,발생건수,172
강남구,11,발생건수,336
송파구,11,발생건수,225
강동구,11,발생건수,97
종로구,11,사망자수,1
중구,11,사망자수,0
용산구,11,사망자수,1
성동구,11,사망자수,2
광진구,11,사망자수,1
동대문구,11,사망자수,1
중랑구,11,사망자수,0
성북구,11,사망자수,0
강북구,11,사망자수,0
도봉구,11,사망자수,0
노원구,11,사망자수,0
은평구,11,사망자수,0
서대문구,11,사망자수,0
마포구,11,사망자수,0
양천구,11,사망자수,1
강서구,11,사망자수,1
구로구,11,사망자수,1
금천구,11,사망자수,2
영등포구,11,사망자수,1
동작구,11,사망자수,0
관악구,11,사망자수,0
서초구,11,사망자수,2
강남구,11,사망자수,0
송파구,11,사망자수,3
강동구,11,사망자수,2
종로구,11,부상자수,103
중구,11,부상자수,104
용산구,11,부상자수,123
성동구,11,부상자수,127
광진구,11,부상자수,88
동대문구,11,부상자수,158
중랑구,11,부상자수,159
성북구,11,부상자수,144
강북구,11,부상자수,121
도봉구,11,부상자수,75
노원구,11,부상자수,171
은평구,11,부상자수,87
서대문구,11,부상자수,93
마포구,11,부상자수,133
양천구,11,부상자수,156
강서구,11,부상자수,181
구로구,11,부상자수,157
금천구,11,부상자수,85
영등포구,11,부상자수,250
동작구,11,부상자수,132
관악구,11,부상자수,146
서초구,11,부상자수,240
강남구,11,부상자수,468
송파구,11,부상자수,308
강동구,11,부상자수,126
종로구,12,발생건수,66
중구,12,발생건수,77
용산구,12,발생건수,77
성동구,12,발생건수,103
광진구,12,발생건수,51
동대문구,12,발생건수,108
중랑구,12,발생건수,117
성북구,12,발생건수,133
강북구,12,발생건수,94
도봉구,12,발생건수,51
노원구,12,발생건수,121
은평구,12,발생건수,48
서대문구,12,발생건수,79
마포구,12,발생건수,77
양천구,12,발생건수,109
강서구,12,발생건수,127
구로구,12,발생건수,116
금천구,12,발생건수,86
영등포구,12,발생건수,188
동작구,12,발생건수,104
관악구,12,발생건수,105
서초구,12,발생건수,181
강남구,12,발생건수,322
송파구,12,발생건수,251
강동구,12,발생건수,78
종로구,12,사망자수,0
중구,12,사망자수,1
용산구,12,사망자수,1
성동구,12,사망자수,2
광진구,12,사망자수,0
동대문구,12,사망자수,0
중랑구,12,사망자수,1
성북구,12,사망자수,1
강북구,12,사망자수,1
도봉구,12,사망자수,1
노원구,12,사망자수,0
은평구,12,사망자수,1
서대문구,12,사망자수,2
마포구,12,사망자수,2
양천구,12,사망자수,1
강서구,12,사망자수,0
구로구,12,사망자수,0
금천구,12,사망자수,1
영등포구,12,사망자수,1
동작구,12,사망자수,2
관악구,12,사망자수,2
서초구,12,사망자수,1
강남구,12,사망자수,3
송파구,12,사망자수,2
강동구,12,사망자수,0
종로구,12,부상자수,83
중구,12,부상자수,106
용산구,12,부상자수,100
성동구,12,부상자수,131
광진구,12,부상자수,67
동대문구,12,부상자수,125
중랑구,12,부상자수,150
성북구,12,부상자수,167
강북구,12,부상자수,112
도봉구,12,부상자수,68
노원구,12,부상자수,166
은평구,12,부상자수,75
서대문구,12,부상자수,98
마포구,12,부상자수,110
양천구,12,부상자수,130
강서구,12,부상자수,175
구로구,12,부상자수,151
금천구,12,부상자수,107
영등포구,12,부상자수,251
동작구,12,부상자수,143
관악구,12,부상자수,131
서초구,12,부상자수,245
강남구,12,부상자수,428
송파구,12,부상자수,341
강동구,12,부상자수,106
